ID,ID_CONTENEDOR_ACTUAL,EXISTENCIAS_ACTUALES,NIVEL_REORDEN
0,0,2825152,7679
1,1,8623853,57155
2,2,2702045,52631
3,3,6428642,51361
4,4,9971970,33685
5,5,4594565,93548
6,6,4435896,99380
7,7,2362878,20567
8,8,5302298,71981
9,9,2556211,9613
10,10,4426830,74912
11,11,1563277,88643
12,12,9584571,9202
13,13,3479150,46823
14,14,2972417,71169
15,15,3865455,60530
16,16,5193692,70797
17,17,5983476,92825
18,18,3867265,35503
19,19,1631856,97336
20,20,6981082,20868
21,21,138965,49476
22,22,9614704,70239
23,23,4931701,22134
24,24,2711281,17423
25,25,5589537,6535
26,26,5207460,33260
27,27,7894048,41141
28,28,1566784,15733
29,29,7397828,56142
30,30,7578509,87279
31,31,8082477,20595
32,32,6947509,43368
33,33,825755,65061
34,34,4383668,72181
35,35,40170,13577
36,36,6605787,1966
37,37,1081633,70902
38,38,9506497,15513
39,39,2331530,57270
40,40,3021456,29961
41,41,3215144,76135
42,42,5592864,58558
43,43,6585987,70720
44,44,2845301,43734
45,45,6088855,74557
46,46,8868425,38797
47,47,7479523,95115
48,48,711808,75247
49,49,8540831,67744
50,50,4574257,43721
51,51,4487557,85673
52,52,1703467,11270
53,53,6127217,1352
54,54,3262161,65651
55,55,3887875,60010
56,56,9989882,72367
57,57,8324129,26240
58,58,1777935,66057
59,59,5146625,97241
60,60,4397405,4744
61,61,666595,24195
62,62,9057781,45012
63,63,9802824,62348
64,64,6151392,73632
65,65,7572186,78249
66,66,3722224,71849
67,67,1206001,82576
68,68,5184378,20520
69,69,7738058,39680
70,70,1800142,24821
71,71,3111084,42634
72,72,6141360,57974
73,73,1254332,73731
74,74,7055466,18960
75,75,6158133,17323
76,76,5770982,95478
77,77,9973646,68212
78,78,1188690,45730
79,79,3132318,99722
80,80,4266097,9651
81,81,726913,15173
82,82,4592154,78835
83,83,5629935,67301
84,84,384556,32036
85,85,7887053,21038
86,86,4826718,29237
87,87,2391963,98510
88,88,6510334,47853
89,89,1282566,55470
90,90,1517278,8937
91,91,1648098,44194
92,92,1334814,3507
93,93,1799750,36079
94,94,8259495,49445
95,95,3845607,90980
96,96,6848904,41060
97,97,5723164,94228
98,98,8426325,71095
99,99,6716672,7137
100,100,7976893,37055
101,101,4861447,54749
102,102,7842423,57529
103,103,775500,83223
104,104,5806326,36570
105,105,8915853,93389
106,106,3928902,44400
107,107,8965685,29921
108,108,4595107,44582
109,109,220946,42434
110,110,8859125,72176
111,111,9326295,91101
112,112,5906929,26804
113,113,6279236,72730
114,114,8019885,66715
115,115,548306,67464
116,116,8658327,3560
117,117,6199508,66073
118,118,9598465,83751
119,119,6009762,76697
120,120,5703108,87778
121,121,4393929,29658
122,122,6561045,17244
123,123,9281448,88940
124,124,6862334,57845
125,125,7933283,52236
126,126,4740885,36699
127,127,3147072,57204
128,128,6596828,29417
129,129,7074601,9050
130,130,6612522,98583
131,131,2106752,19452
132,132,495000,62459
133,133,5088677,36316
134,134,2155111,47409
135,135,1721543,1152
136,136,926364,51685
137,137,1614836,59930
138,138,4413448,53316
139,139,1535961,49171
140,140,966803,31880
141,141,2609765,71938
142,142,7897474,76351
143,143,7010296,79269
144,144,7026115,85058
145,145,8426847,63640
146,146,1480286,28549
147,147,1140184,28
148,148,1101497,45284
149,149,7496637,15843
150,150,3633207,99923
151,151,8654651,90425
152,152,7281363,19277
153,153,5559491,99069
154,154,4711292,82628
155,155,8433898,27735
156,156,8451051,11166
157,157,8863466,14668
158,158,2620174,55321
159,159,3441139,98870
160,160,3658498,60291
161,161,2224076,47910
162,162,8192299,31481
163,163,3655797,75703
164,164,5759951,11139
165,165,868671,48049
166,166,9164994,67440
167,167,6890829,25928
168,168,681669,99963
169,169,2870120,6151
170,170,6951629,38451
171,171,846459,77074
172,172,3155373,99867
173,173,9553588,34944
174,174,6381137,35204
175,175,3810367,29918
176,176,5031399,93436
177,177,4373235,18917
178,178,6736473,77813
179,179,7403017,36119
180,180,1388681,74517
181,181,9030213,83727
182,182,5335495,16382
183,183,1909817,10539
184,184,5313531,58342
185,185,6526060,68462
186,186,3346857,45442
187,187,9907050,80546
188,188,5261871,29798
189,189,3868697,83473
190,190,724326,68922
191,191,4001849,21955
192,192,6491326,34100
193,193,1795331,88210
194,194,9837393,88395
195,195,7171041,60299
196,196,5859368,31794
197,197,8948752,95140
198,198,6982156,81472
199,199,4169933,32738
200,200,6276824,71816
201,201,8057936,67297
202,202,5508224,63744
203,203,1427683,10305
204,204,4998640,89420
205,205,1671036,38837
206,206,302146,18473
207,207,6489247,91128
208,208,5542081,17274
209,209,6043476,12523
210,210,7846714,99633
211,211,1205524,19273
212,212,1705835,10381
213,213,1677759,77825
214,214,7420445,48884
215,215,2493804,7205
216,216,6416649,78832
217,217,9814965,30344
218,218,2504506,10805
219,219,7943397,28674
220,220,4656627,27447
221,221,1079302,73110
222,222,8687588,37187
223,223,8327830,49937
224,224,9044708,25416
225,225,4279067,80410
226,226,8392450,13440
227,227,9981799,69520
228,228,5748394,18456
229,229,9589418,79244
230,230,8501771,71760
231,231,8700619,56482
232,232,7672867,95069
233,233,7263132,31
234,234,6194379,13606
235,235,8774854,59462
236,236,7535880,57383
237,237,3819963,36809
238,238,3813842,86076
239,239,8590237,74430
240,240,3708808,47901
241,241,7691342,33329
242,242,1369770,53486
243,243,4133545,56917
244,244,2673405,56515
245,245,5303982,2874
246,246,2470442,60961
247,247,4670855,94694
248,248,3791344,26783
249,249,1204471,77522
250,250,3980825,76861
251,251,6345261,24608
252,252,6614634,86108
253,253,2071332,43045
254,254,1476633,74747
255,255,3510110,45110
256,256,912194,92860
257,257,1243411,7950
258,258,7151134,56418
259,259,3816156,97722
260,260,6455613,39084
261,261,769298,87937
262,262,8579654,9730
263,263,6925154,40124
264,264,9023673,85857
265,265,4479838,60981
266,266,2805358,86710
267,267,7407568,99019
268,268,6649543,96098
269,269,4910612,96597
270,270,3513125,19255
271,271,9679393,31053
272,272,4024243,3091
273,273,80932,49946
274,274,1388318,40687
275,275,4547448,36257
276,276,3018186,98739
277,277,8106941,24526
278,278,1062500,10130
279,279,512340,42776
280,280,1177089,80418
281,281,6908978,87203
282,282,4736263,15267
283,283,9716268,47029
284,284,9206194,1837
285,285,4633764,42558
286,286,2353981,12375
287,287,7812075,70817
288,288,7758034,36083
289,289,679728,96318
290,290,2828982,2851
291,291,616662,35460
292,292,9467003,27483
293,293,1222282,94669
294,294,9793674,783
295,295,4956359,67971
296,296,7403915,54782
297,297,6038624,71431
298,298,97962,79432
299,299,48225,36595
300,300,3515280,79475
301,301,9940135,27850
302,302,6280207,41743
303,303,8428941,9175
304,304,3143211,81050
305,305,9330971,59134
306,306,692229,77312
307,307,9904608,23700
308,308,8593553,35467
309,309,4053943,73436
310,310,3692432,87687
311,311,2288545,3267
312,312,3208306,57616
313,313,3212897,26734
314,314,7440976,36814
315,315,8996663,6739
316,316,6499411,65895
317,317,9063187,85444
318,318,7149625,48206
319,319,4438087,56806
320,320,5272552,73586
321,321,9162622,41234
322,322,8636299,91757
323,323,4075531,53741
324,324,2444016,81609
325,325,9153205,52621
326,326,1372259,57386
327,327,7343617,65249
328,328,8723352,15422
329,329,5613948,89836
330,330,5010567,85888
331,331,8950927,44219
332,332,7552101,12273
333,333,9090611,10444
334,334,9094378,31951
335,335,9087616,24088
336,336,9741926,16771
337,337,1923776,13045
338,338,4012447,52294
339,339,5602516,47588
340,340,6648162,72090
341,341,4260148,43487
342,342,6633567,821
343,343,7359069,16518
344,344,7144275,73597
345,345,8061224,53495
346,346,2864894,35888
347,347,5480101,32967
348,348,1682197,38313
349,349,1196410,4157
350,350,4027052,94356
351,351,3740942,25588
352,352,1610397,75325
353,353,1606771,42098
354,354,3139690,18099
355,355,2925309,64449
356,356,6970423,80186
357,357,907696,9226
358,358,3900127,37217
359,359,7340618,35424
360,360,6912069,30321
361,361,406629,52379
362,362,4704208,99956
363,363,500048,28897
364,364,5659186,63735
365,365,7372603,43551
366,366,8301094,76990
367,367,1595258,53630
368,368,7978544,95760
369,369,6079437,78012
370,370,4496627,68953
371,371,5548533,56120
372,372,4144646,14975
373,373,6042241,58966
374,374,8987472,23063
375,375,2814086,50954
376,376,6240643,37604
377,377,4879271,51070
378,378,6594660,50685
379,379,5616651,43878
380,380,2341053,34313
381,381,7005128,33296
382,382,8689737,15045
383,383,754086,25848
384,384,875069,81539
385,385,9059566,59338
386,386,8041525,80063
387,387,3161320,12327
388,388,7451537,23879
389,389,1068407,12946
390,390,6246975,78375
391,391,4765594,54509
392,392,4595757,83992
393,393,8793720,74890
394,394,2810123,10951
395,395,2096077,44636
396,396,3254473,8733
397,397,4851323,39775
398,398,6142289,87939
399,399,3951328,29856
400,400,6741153,33482
401,401,1986186,44669
402,402,4092142,28238
403,403,8160043,65013
404,404,5564299,34914
405,405,2783053,7497
406,406,7222644,29707
407,407,266492,39566
408,408,9701485,70797
409,409,2487041,88749
410,410,2292305,23172
411,411,6631389,45641
412,412,302780,25552
413,413,1141675,97227
414,414,250684,50427
415,415,8730117,89611
416,416,670697,47445
417,417,6380746,91215
418,418,9521212,89654
419,419,7698066,25063
420,420,9380011,6875
421,421,8198549,729
422,422,6863103,27554
423,423,319423,9909
424,424,2696449,29143
425,425,9237152,40138
426,426,5914341,19860
427,427,7488485,56914
428,428,1387830,98929
429,429,1490359,94065
430,430,278047,71867
431,431,7409384,10720
432,432,747753,13926
433,433,8318473,41567
434,434,2138742,3903
435,435,7038082,30122
436,436,8569967,6315
437,437,4253766,43462
438,438,4307242,75767
439,439,391762,99759
440,440,5633311,5732
441,441,1104922,81099
442,442,6005160,43364
443,443,4909963,20054
444,444,94356,99390
445,445,8193490,40740
446,446,2463215,67073
447,447,5017649,79591
448,448,9661565,15828
449,449,3441798,60479
450,450,5924507,82899
451,451,823081,5960
452,452,8306914,86982
453,453,8543706,72419
454,454,225784,82254
455,455,5048690,65519
456,456,1723702,28294
457,457,9139501,53712
458,458,2918587,89542
459,459,6024160,19324
460,460,8198880,22967
461,461,446131,24497
462,462,7813143,27139
463,463,9180046,10563
464,464,7448906,38770
465,465,9491425,6123
466,466,9358086,28907
467,467,5475342,49303
468,468,5024758,80063
469,469,5847227,10979
470,470,1694319,62926
471,471,1534620,19899
472,472,6464801,91213
473,473,8407325,2278
474,474,6103987,93663
475,475,3783553,84237
476,476,4157734,58055
477,477,6747892,64646
478,478,5254854,50103
479,479,6884350,52328
480,480,2267104,52563
481,481,5583787,63540
482,482,8842159,36141
483,483,3734527,44210
484,484,4789926,78651
485,485,9692527,2923
486,486,6832358,34224
487,487,9074060,50344
488,488,2855437,30770
489,489,5630163,98978
490,490,400265,68201
491,491,4583174,72798
492,492,5903709,96843
493,493,8451383,18055
494,494,9689675,47295
495,495,7033653,67002
496,496,1967392,67393
497,497,7131419,88715
498,498,5801268,7949
499,499,2221657,53940
500,500,3821692,41614
501,501,6964642,964
502,502,1893590,24548
503,503,6096140,65143
504,504,683788,65350
505,505,6837050,83365
506,506,8357156,63295
507,507,7553893,72805
508,508,5405674,36918
509,509,7662573,90036
510,510,1266657,90284
511,511,5716484,97132
512,512,8088590,373
513,513,9901757,64682
514,514,5444456,27395
515,515,7275844,42934
516,516,7455559,68147
517,517,2315821,81754
518,518,4514984,55782
519,519,2907152,41835
520,520,3415123,27270
521,521,9291206,43318
522,522,1188735,33935
523,523,5219620,84537
524,524,2858188,91458
525,525,3130805,90422
526,526,8776355,16655
527,527,8313573,54969
528,528,5252243,91507
529,529,566341,55365
530,530,5378042,57024
531,531,7911786,42768
532,532,7758580,59638
533,533,649071,26544
534,534,3332920,83737
535,535,4147474,33594
536,536,1066776,8513
537,537,6608591,35214
538,538,4697161,75979
539,539,8861939,36684
540,540,5022123,41408
541,541,9387812,85878
542,542,2827604,63904
543,543,3498629,50306
544,544,7088265,49299
545,545,3662636,92361
546,546,1096183,42211
547,547,1799990,63347
548,548,5355246,71682
549,549,1584134,91103
550,550,2480790,55168
551,551,4086571,7810
552,552,9567908,59003
553,553,9795896,17207
554,554,2572625,6298
555,555,7999607,70958
556,556,2637605,33633
557,557,7667322,24845
558,558,6022613,81758
559,559,2893078,8376
560,560,4813501,69622
561,561,4988414,73518
562,562,7089032,43498
563,563,753671,4172
564,564,2895630,74051
565,565,2466956,78857
566,566,8183115,5306
567,567,5447332,41847
568,568,9195170,99359
569,569,6440623,83789
570,570,9615134,68423
571,571,3970285,96224
572,572,6270591,88904
573,573,4815983,21830
574,574,2238870,95415
575,575,2380888,17405
576,576,2724322,7993
577,577,4338999,27151
578,578,8308980,7550
579,579,8942203,56761
580,580,4209658,69513
581,581,9139518,7923
582,582,897420,79766
583,583,8396669,35849
584,584,1297633,98877
585,585,952870,80671
586,586,1649300,56029
587,587,3642490,16407
588,588,109018,64915
589,589,8250095,42719
590,590,1688304,44437
591,591,1259130,36353
592,592,2279769,43029
593,593,6528813,8773
594,594,4636286,39943
595,595,8727290,67835
596,596,2266641,24503
597,597,7321265,43604
598,598,3572814,61746
599,599,3793683,72373
600,600,1851817,23214
601,601,6585127,83281
602,602,9629761,95457
603,603,6747742,32985
604,604,6384749,75570
605,605,1775057,66044
606,606,2557961,2509
607,607,5554186,40558
608,608,8078287,89518
609,609,714787,22192
610,610,5384325,62702
611,611,9070334,88920
612,612,3132789,92896
613,613,3373806,99770
614,614,5831303,58201
615,615,2412650,2234
616,616,8945633,49065
617,617,5341889,26940
618,618,9905079,29058
619,619,9446973,27170
620,620,1713651,30163
621,621,8175650,4848
622,622,293415,26020
623,623,4759665,15896
624,624,3309792,96527
625,625,611689,89450
626,626,5092693,34300
627,627,1484988,46069
628,628,1770598,63149
629,629,7429618,21750
630,630,8366529,15993
631,631,9082038,50418
632,632,4571374,25154
633,633,5891973,54340
634,634,5872863,68700
635,635,5275085,68593
636,636,7876904,63728
637,637,3573264,18514
638,638,5301625,87595
639,639,1067350,37213
640,640,2571310,58973
641,641,8834456,18338
642,642,8760206,45336
643,643,6939878,83346
644,644,7701689,73216
645,645,5718277,75758
646,646,598050,9924
647,647,1907990,39694
648,648,1474400,82594
649,649,5741576,2414
650,650,768399,11393
651,651,8957006,79419
652,652,5999083,12548
653,653,3514824,79897
654,654,1203715,76737
655,655,2773747,30207
656,656,3580405,63904
657,657,3752506,31755
658,658,1351221,33255
659,659,4771913,88234
660,660,2206001,62831
661,661,8555964,87230
662,662,3972937,38014
663,663,6727344,23932
664,664,762492,62723
665,665,1773137,74200
666,666,8355155,15590
667,667,2470883,9921
668,668,6740579,11443
669,669,4854986,38877
670,670,3915880,87630
671,671,8782435,72129
672,672,4754724,51940
673,673,1989758,55601
674,674,1713497,27874
675,675,5941116,89260
676,676,6634426,8138
677,677,390108,15625
678,678,6935137,453
679,679,7416096,45028
680,680,3410227,77033
681,681,2101854,51164
682,682,955686,35841
683,683,1350313,88611
684,684,8731362,79151
685,685,4243095,76085
686,686,6097950,33912
687,687,6846624,73751
688,688,3238831,69617
689,689,1207354,70248
690,690,3198157,13896
691,691,2793777,82755
692,692,1298766,15025
693,693,3963723,94299
694,694,4035989,27440
695,695,5975493,72131
696,696,6540512,35675
697,697,2073997,79251
698,698,9732920,69747
699,699,8172044,83595
700,700,5842603,72690
701,701,1133036,57029
702,702,1525262,67521
703,703,7320065,24104
704,704,8027078,42438
705,705,4179090,75262
706,706,1897403,85541
707,707,3843796,64967
708,708,4461622,71227
709,709,1120623,94754
710,710,6948237,43396
711,711,7357587,80555
712,712,7173915,44489
