ID_COMPRA,ID_PRODUCTO,CANT_UNIDADES_COMPRADAS
669,7377551421541,6
716,9673465053464,17
206,4477448993298,11
883,3876336127783,5
840,0246675164580,9
972,9391436147683,2
293,8586619459900,17
803,8307748472161,3
355,3184933565427,11
374,7727794555259,6
863,2361565781895,3
776,7065420436832,18
249,7554352929852,4
764,7987604735534,8
482,4460628822396,15
694,4562625551726,19
460,3443117327528,9
578,7126854158148,19
804,1310760835460,20
23,9589796390553,19
117,6025232941765,6
807,7108587209472,9
116,8123395848469,2
347,0590643216390,3
934,0914047261150,20
631,2709740134294,2
121,3346996168544,1
282,2590037525570,8
215,6927032201332,4
943,9972468512405,18
570,8247646614563,7
969,6966104925097,7
488,9653948598002,17
379,5788512477705,9
164,2012155442626,14
30,9176034179690,1
350,2642503766533,14
415,8347830119154,11
515,2003713477792,20
220,8340475991994,14
829,6576447247963,18
296,7158759349512,9
411,3945264079270,11
346,8339412048655,16
856,3180133790416,15
948,8566609289328,5
952,2925862202516,16
234,0708713868039,8
898,1568396904016,18
579,3246086062748,2
786,1603758055637,18
3,4905400159722,20
878,0012665602239,3
606,9353847908123,3
806,2583726924235,1
195,3428904635574,1
200,7164496837854,16
216,3389720658577,5
59,4577372846490,20
535,2376825434374,17
124,5400662091067,2
831,8273574210034,7
570,1622972277922,11
239,9986015508131,15
840,6759280256327,20
216,7184892232312,20
132,0518777425266,13
562,0845488714571,18
375,9280706061432,5
412,6878019728642,9
979,7862639996740,7
894,6869146137025,4
503,8166591095718,1
378,4948072326689,20
463,5410359343720,20
452,5540614438912,9
144,5905238166090,14
582,3521798219469,18
276,3186404615723,14
180,8388032518093,4
507,1938448173019,9
935,4907124232958,14
21,1383296947716,14
493,5757998516826,17
58,0313819581692,11
103,0734753410877,11
390,2660911900486,14
442,4624106667705,14
76,5759451237095,1
124,2511136693052,10
671,9101783252677,17
808,7156353383994,4
387,2852726968045,15
387,3531790765086,16
672,7734678180148,17
907,5652339267644,12
361,7153201331329,16
637,5302852143993,9
555,1161479721540,18
197,4580349267686,14
817,7735412542086,10
925,9174615355730,19
649,8822922210907,19
891,6592801219988,6
208,9728619654285,16
180,9796298360551,13
507,1962798448640,15
337,7121678715867,16
57,2946562585921,20
79,0803504594989,12
39,9374196053777,1
48,0112404457554,10
298,0449432064172,20
7,6190415403269,4
60,4519609685274,5
89,8770198284514,15
396,8469325625695,3
496,6161116580511,18
858,1683340659009,7
543,2573425898913,7
73,1140641737671,16
651,5065622428156,12
569,6493523649469,5
178,3324023823116,19
599,2008810792465,5
397,9859409049148,12
281,8129546219829,7
33,2934699580957,4
758,1096145993160,8
137,3128044788825,12
547,0050960338316,16
915,6936803594399,10
804,3389278167798,5
856,7032199349373,4
846,3359093335696,17
202,5988171434006,8
456,2103053655321,11
586,0017089003983,13
947,8692169758667,7
917,4161998896344,4
990,8460729491534,12
128,1740619777281,4
841,0644586030114,10
494,4523526656392,7
757,6414623004002,11
685,2277898328662,3
217,1771182659377,18
900,7252820921291,7
498,8226224593759,2
743,7691711670281,9
433,6913719617671,13
517,1932918332913,11
953,0924618260758,17
380,0165231796686,15
863,6125515300033,3
671,3338802223813,20
224,1263052977518,8
15,3052969472098,2
152,4517721610006,18
660,5696922383366,9
295,6126668075519,12
202,6746753871767,17
173,4688822173483,1
935,8733737441489,13
121,5609876783045,17
453,6087224979354,5
597,1868601706009,2
991,8708987170663,10
934,3914544062141,15
845,1451368863919,4
615,5178350060441,12
534,4769179869073,19
96,2845314077601,9
939,4099195215272,17
748,1650888877035,1
897,6124484726998,10
776,3408870679109,9
420,3298500428777,17
266,9264501169883,17
412,8475462784447,15
908,8366540852250,20
241,2016206746640,2
249,5702817549462,3
624,7632325608352,5
904,0986388286130,16
393,3398391212605,19
945,2113668467103,14
782,9353847908123,16
472,7417624761256,14
339,0950211360274,12
510,6502715737270,19
745,4726432095525,1
40,0051015720483,8
953,1645874035445,16
643,8984141523623,17
740,4061144114769,11
568,8707676153666,3
842,2535381209028,11
328,9972613236842,10
800,3358409265948,18
895,3629079091756,18
8,3646371295811,15
851,3451500357915,16
965,6977601525444,3
510,3653206640265,4
541,3354782678498,14
544,6896640837205,4
402,8693958259174,19
757,9099684788121,18
283,4401311493400,6
533,7644060575721,3
180,6258675404652,4
911,3632336225849,17
78,1274506098963,8
513,1177527819343,10
716,2927833308241,15
360,4494249939690,3
514,8689339775920,17
453,8734124786633,2
486,7597582956472,20
604,4266331510601,10
192,3147496930682,5
172,3113613707468,16
902,2075533549423,9
995,7902585962229,1
97,7236239523253,16
813,9786753778397,3
780,6372394152301,8
929,9769898981587,17
900,0968583293724,5
930,0499652338188,10
77,9416568567472,6
886,8016246348464,17
459,1295220861473,4
289,5021785342340,6
613,0234265505400,4
980,8320654704591,10
691,0772455296771,16
205,2240191150841,18
69,6410527613975,11
749,3757964224863,16
156,1389420166152,10
548,4553664307351,2
163,9037417080340,14
20,2319954843051,8
174,0149429974933,19
981,4764402168145,2
483,8790522069297,2
834,3748844238889,5
159,9869197376968,20
707,0760402669433,17
77,8494848599161,15
759,6475817665317,3
588,5880326116761,2
366,6824034258862,19
744,1693881439947,18
75,7961478092719,11
311,1155786503333,18
719,7636116744939,15
960,1924518248268,3
321,3099236569556,7
783,8677173954304,8
705,3283016339310,20
887,2639245852556,9
181,7485421802342,9
989,3155630690071,19
986,9007306019201,2
343,5748383584391,9
973,2587195224902,20
695,3603671776846,13
922,6918604182326,20
524,7344564828995,13
676,3099092831880,12
869,9411930697603,3
423,9160669066715,10
462,2643137009157,13
545,4253084364568,12
311,0272364828723,2
902,3746315931420,19
259,4884260070517,3
208,1146777207156,11
471,2981730799540,8
149,7883415718868,3
33,2221142763549,13
778,2445727382455,14
7,1545712406386,10
493,0281872134677,9
822,6157507816765,8
461,0770591324693,17
583,8200232739330,15
393,6987727765488,10
519,1137103484723,7
676,7244998942864,6
284,7075404726361,14
259,9899110276419,12
253,7124319884601,13
