ID,MEDIDA,UNIDAD_MEDIDA,ESPECIFICACION_EMPACADO,UNIDAD_ESPECIFICACION_EMPACADO
0,894,gr,909302,pesoGR
1,988,ml,474853,pesoGR
2,14,gr,717582,volumenCm3
3,850,gr,377099,volumenCm3
4,644,ml,509366,volumenCm3
5,286,gr,353293,pesoGR
6,403,ml,264352,pesoGR
7,236,gr,204387,pesoGR
8,256,gr,40921,pesoGR
9,594,ml,926331,pesoGR
10,216,gr,606282,volumenCm3
11,61,gr,786145,volumenCm3
12,706,ml,584936,pesoGR
13,582,ml,583181,pesoGR
14,496,gr,635420,volumenCm3
15,405,ml,488487,volumenCm3
16,723,ml,633077,volumenCm3
17,523,ml,116161,volumenCm3
18,151,gr,735239,volumenCm3
19,960,gr,660378,pesoGR
20,818,ml,443867,volumenCm3
21,759,gr,604405,volumenCm3
22,947,gr,832739,pesoGR
23,36,ml,620453,volumenCm3
24,785,ml,475791,pesoGR
25,31,gr,185926,volumenCm3
26,53,gr,909924,pesoGR
27,749,gr,39790,volumenCm3
28,214,ml,81161,volumenCm3
29,708,gr,590293,pesoGR
30,759,gr,202679,volumenCm3
31,738,ml,511976,volumenCm3
32,444,ml,429044,pesoGR
33,992,gr,343380,pesoGR
34,500,ml,101786,volumenCm3
35,299,ml,493108,volumenCm3
36,763,gr,808291,volumenCm3
37,401,ml,965336,pesoGR
38,418,ml,172320,pesoGR
39,329,gr,362946,volumenCm3
40,997,gr,255485,pesoGR
41,747,gr,881320,pesoGR
42,182,gr,868000,volumenCm3
43,67,ml,302703,volumenCm3
44,820,gr,46798,volumenCm3
45,495,ml,870459,pesoGR
46,536,ml,81385,pesoGR
47,314,ml,593044,pesoGR
48,653,gr,188693,volumenCm3
49,614,gr,44908,volumenCm3
50,592,gr,478338,volumenCm3
51,452,ml,547107,volumenCm3
52,394,gr,134408,pesoGR
53,422,gr,286021,volumenCm3
54,24,ml,774899,volumenCm3
55,757,ml,560817,volumenCm3
56,356,gr,120359,pesoGR
57,343,gr,869785,volumenCm3
58,408,ml,805631,volumenCm3
59,980,gr,972492,volumenCm3
60,215,gr,863249,pesoGR
61,65,gr,745449,pesoGR
62,651,ml,991788,volumenCm3
63,73,ml,802079,pesoGR
64,474,gr,141246,volumenCm3
65,293,ml,938626,volumenCm3
66,866,gr,637810,pesoGR
67,920,ml,733565,volumenCm3
68,874,ml,248187,volumenCm3
69,288,gr,530305,volumenCm3
70,19,ml,850448,pesoGR
71,820,gr,299439,pesoGR
72,777,ml,487349,pesoGR
73,531,ml,937090,volumenCm3
74,770,gr,516047,volumenCm3
75,531,ml,560137,pesoGR
76,86,gr,998301,volumenCm3
77,951,gr,897693,pesoGR
78,679,gr,181333,volumenCm3
79,884,gr,881795,volumenCm3
80,239,gr,605431,pesoGR
81,290,ml,72336,pesoGR
82,555,gr,798559,volumenCm3
83,42,gr,19576,pesoGR
84,568,gr,33331,pesoGR
85,165,ml,365396,pesoGR
86,611,ml,913600,volumenCm3
87,376,gr,777159,pesoGR
88,832,ml,148932,pesoGR
89,444,ml,20744,pesoGR
90,999,gr,852259,volumenCm3
91,674,ml,735516,volumenCm3
92,303,ml,881096,pesoGR
93,923,ml,955574,volumenCm3
94,597,gr,331778,volumenCm3
95,454,ml,998520,volumenCm3
96,46,ml,466173,volumenCm3
97,645,ml,269569,pesoGR
98,99,ml,633281,pesoGR
99,341,gr,104056,volumenCm3
100,350,gr,860686,volumenCm3
101,448,ml,439117,pesoGR
102,259,ml,306248,pesoGR
103,799,ml,642107,pesoGR
104,834,gr,891896,volumenCm3
105,778,gr,768859,volumenCm3
106,509,ml,854541,pesoGR
107,334,gr,268467,pesoGR
108,162,ml,451274,volumenCm3
109,880,gr,274658,volumenCm3
110,654,ml,224949,volumenCm3
111,953,gr,447896,pesoGR
112,992,gr,171680,volumenCm3
113,143,ml,954677,volumenCm3
114,501,gr,616108,volumenCm3
115,954,ml,387433,pesoGR
116,64,gr,759129,pesoGR
117,488,ml,866009,volumenCm3
118,172,ml,280363,volumenCm3
119,271,ml,907236,volumenCm3
120,641,gr,972954,pesoGR
121,128,ml,584563,volumenCm3
122,463,ml,711990,pesoGR
