NIT,NOMBRE,CALIFICACION_PROMEDIO
75300692,Morrison-Edwards,3
25494815,Mendez PLC,3
76322372,Klein Ltd,1
89778869,"Tucker, Myers and Baldwin",4
10038109,Mitchell-Sweeney,3
12242504,Jackson and Sons,2
14295287,Walker and Sons,4
14656699,"Edwards, Keller and Rivera",3
72705919,Morgan-Shaw,5
71147017,Acosta-Sparks,5
01765588,"Fernandez, Vang and Gordon",4
76463617,Walker-Miller,2
95468112,Pearson Group,1
20441098,Jackson Ltd,5
46034823,Zuniga Ltd,1
97971177,"Carey, Buckley and Lewis",2
38038051,"Thompson, Mcconnell and Johnson",1
45781001,Wade-Lee,3
02445052,Smith-Chen,4
45969140,"Guerrero, Griffin and Molina",3
09103160,Flores-Sanders,1
06240318,Reed Ltd,1
75971816,Gutierrez LLC,3
55984669,"Ellis, Bishop and Foster",3
54609556,"Thomas, Morris and Hays",5
14395116,Krause Inc,3
56788358,"Tate, Clark and Heath",1
80750406,Estes-Lewis,4
94932782,Bennett and Sons,2
86225175,"Robinson, Campbell and Freeman",4
98969821,Padilla-Andrews,4
64491523,Gonzales-Owens,3
59017097,"Carter, Wood and Holland",5
17680547,"Moore, Roth and Herrera",3
57948775,Wilson-Chandler,1
59914297,"Bennett, Smith and Horton",5
29262823,Johnson-Parks,3
83369650,Hardin-Lindsey,4
74267460,Clark-Rodriguez,1
89197127,"Sanchez, Smith and Braun",3
26711003,Vance PLC,2
63638578,"Pittman, Williams and Cox",2
24934169,"Shepherd, Crawford and Bishop",3
54975392,Miller-Schmitt,5
11798606,"Carey, Hill and Blackwell",1
16773691,Haynes-Henry,2
75682071,Barrett Group,2
08440471,"Mosley, Aguirre and Anderson",1
32302455,Mitchell and Sons,1
81235650,Scott-Anderson,4
39230584,Potter-Taylor,4
61565951,Mosley Inc,4
89388297,Marks LLC,4
80708889,"Nixon, Norton and Walker",1
08885708,"Barnett, Mitchell and Adams",2
16438583,"Mcdonald, Dudley and Clarke",3
13831165,"Leon, Clark and Benson",4
56478730,Richardson-Rodgers,1
77109750,Rodriguez-Collins,1
14037887,Williams-Delacruz,3
23752108,Mullen-Watson,5
18612707,Johnson PLC,4
61032149,Kelley-Freeman,4
11819608,Little-Castro,4
94598551,Combs Inc,2
56635430,Miles-Huynh,4
72739235,"Aguilar, Patterson and Herrera",1
56103519,Dillon LLC,5
34521533,"Roth, Francis and Crane",4
07780622,"Miller, Rose and Armstrong",1
27478905,Andrade and Sons,2
53411020,Martinez-Haynes,4
25964431,Farrell and Sons,4
27205914,Crane-Anthony,1
06077662,Preston-Cook,4
16936546,"Alvarado, Hunt and Harris",1
46305428,"Diaz, Stark and Pineda",5
59977865,Vega Group,1
00006026,Green-Flores,4
56752502,Randolph-Guerra,1
00721752,Roman-Day,4
49441215,Atkinson Inc,4
93203883,"Brown, Drake and Smith",3
47782129,"Weeks, Watson and Schultz",3
25893403,"Thompson, Stein and Tyler",1
56237092,Short-Medina,1
16312388,Roman-Fisher,5
84808059,"Thompson, Lee and Booker",2
96303818,Marshall Ltd,1
96913048,Massey-Rodriguez,5
03004258,"Baker, Lewis and Johnson",3
64831282,"Marshall, Griffith and Cook",4
71062525,"Lopez, Cox and Carroll",2
41030110,Carlson LLC,2
77417381,Moreno LLC,1
23000612,"Anderson, Pearson and Alvarez",5
